Elo Rank	Player	Age	Elo	    	hElo Rank	hElo	cElo Rank	cElo	gElo Rank	gElo	    	Peak Elo	Peak Month	    	ATP Rank	Log diff
1	Jannik Sinner	23.7	2220.4		1	2183.6	2	2090.4	3	1971.9		2329.6	2025-01		1	0
2	Carlos Alcaraz	22.0	2204.2		3	2107.8	1	2165.1	1	2094.2		2243.6	2023-08		2	0
3	Novak Djokovic	37.9	2156.5		2	2112.2	3	2075.4	2	2034.8		2463.2	2016-05		6	-0.69
4	Jack Draper	23.3	2085.2		4	2028.5	8	1957.0	7	1892.4		2103.8	2025-04		5	-0.22
5	Alexander Zverev	28.0	2057.2		5	2019.5	5	1997.3	8	1877.2		2176.5	2022-01		3	0.51
6	Lorenzo Musetti	23.1	2026.3		20	1881.3	4	1997.7	4	1904.4		2033.1	2025-05		7	-0.15
7	Tommy Paul	27.9	2008.7		9	1934.7	12	1920.8	6	1892.5		2013.3	2025-05		12	-0.54
8	Daniil Medvedev	29.2	2001.7		6	1960.4	11	1927.5	5	1896.8		2201.2	2022-01		11	-0.32
9	Casper Ruud	26.3	2001.7		13	1903.0	6	1992.4	29	1724.1		2071.9	2022-05		8	0.12
10	Taylor Fritz	27.5	1995.6		7	1956.7	17	1893.4	10	1865.1		2054.0	2025-01		4	0.92
11	Alex De Minaur	26.2	1993.8		10	1932.4	16	1897.0	12	1831.9		2053.1	2024-06		9	0.20
12	Grigor Dimitrov	33.9	1975.4		8	1935.7	18	1887.6	14	1808.6		2111.5	2014-08		17	-0.35
13	Arthur Fils	20.8	1970.7		17	1896.0	10	1932.3	13	1821.4		1985.4	2025-04		14	-0.07
14	Matteo Berrettini	29.0	1954.1		23	1873.9	9	1934.1	9	1873.1		2065.7	2022-07		30	-0.76
15	Holger Rune	22.0	1953.9		12	1907.6	13	1906.7	15	1806.9		2082.0	2023-05		10	0.41
16	Stefanos Tsitsipas	26.7	1952.5		19	1889.7	7	1957.8	18	1780.2		2145.1	2021-05		20	-0.22
17	Hubert Hurkacz	28.2	1951.6		21	1880.8	15	1897.7	11	1843.5		2022.5	2024-06		28	-0.50
18	Jakub Mensik	19.6	1948.6		11	1915.8	21	1831.3	50	1676.2		1968.7	2025-04		19	-0.05
19	Francisco Cerundolo	26.7	1945.8		22	1874.8	14	1902.1	27	1731.5		1961.6	2025-04		18	0.05
20	Gael Monfils	38.7	1922.5		18	1889.9	41	1745.8	32	1720.0		2087.1	2016-10		42	-0.74
21	Tomas Machac	24.5	1922.2		14	1901.8	30	1783.2	28	1725.7		1972.7	2025-04		22	-0.05
22	Ben Shelton	22.5	1903.5		24	1863.5	28	1798.4	31	1722.3		1975.5	2024-10		13	0.53
23	Joao Fonseca	18.7	1900.7		15	1897.1	31	1776.5	70	1630.9		1992.5	2025-03		65	-1.04
24	Tallon Griekspoor	28.8	1899.8		25	1860.4	27	1802.4	17	1780.7		1936.3	2025-03		35	-0.38
25	Ugo Humbert	26.8	1896.7		16	1896.5	42	1745.0	21	1758.3		2017.7	2024-03		21	0.17
26	Andrey Rublev	27.5	1892.1		26	1858.9	19	1856.1	16	1784.8		2122.1	2021-04		15	0.55
27	Alejandro Davidovich Fokina	25.9	1890.9		31	1834.7	22	1820.1	57	1657.8		1931.2	2021-05		29	-0.07
28	Karen Khachanov	28.9	1890.5		29	1840.9	20	1839.6	40	1708.3		2029.5	2018-10		24	0.15
29	Jiri Lehecka	23.5	1882.8		28	1847.2	35	1765.0	44	1691.4		1966.5	2025-02		34	-0.16
30	Jordan Thompson	31.0	1873.9		33	1832.6	97	1660.1	19	1775.8		1891.2	2024-12		40	-0.29
31	Thanasi Kokkinakis	28.7	1872.6		34	1822.4	33	1771.4	65	1643.4		1890.3	2015-06		111	-1.28
32	Sebastian Korda	24.8	1871.8		30	1836.7	48	1739.7	20	1768.1		2020.7	2023-01		23	0.33
33	Denis Shapovalov	26.0	1867.0		27	1848.0	40	1747.2	34	1717.9		1983.2	2020-01		31	0.06
34	Felix Auger Aliassime	24.7	1864.4		32	1833.5	23	1811.8	35	1715.7		2062.7	2022-10		27	0.23
35	Matteo Arnaldi	24.2	1859.4		35	1805.0	24	1807.1	53	1671.4		1902.9	2024-06		36	-0.03
36	Flavio Cobolli	23.0	1839.0		54	1744.4	26	1802.9	73	1625.8		1889.7	2024-12		26	0.33
37	Marcos Giron	31.8	1838.0		36	1799.7	78	1697.1	22	1757.9		1874.1	2025-03		43	-0.15
38	Frances Tiafoe	27.3	1834.6		37	1797.0	38	1753.4	26	1738.6		1974.0	2023-06		16	0.86
39	Alexei Popyrin	25.7	1833.8		40	1776.5	32	1774.3	46	1686.8		1902.2	2024-10		25	0.44
40	Jacob Fearnley	23.8	1830.1		41	1775.8	51	1733.1	39	1710.1		1910.0	2024-10		55	-0.32
41	Alex Michelsen	20.7	1828.2		38	1794.2	88	1674.3	42	1703.8		1904.8	2025-01		33	0.22
