name,country,gender,source_file,rank,matches,match_win_pct,service_points_won_pct,aces,ace_pct,double_faults,double_fault_pct,first_serve_in_pct,first_serve_win_pct,second_serve_win_pct,hold_pct,points_per_service_game,points_lost_per_service_game,source_files
Aryna Sabalenka,BLR,W,wta.tsv,1.0,,83.6,62.0,268.0,5.6,164.0,3.4,62.8,68.6,50.9,78.0,6.5,2.5,wta.tsv
Jannik Sinner,ITA,M,atp.tsv,1.0,,92.9,71.0,474.0,10.9,99.0,2.3,61.2,78.9,58.5,91.3,6.0,1.8,atp.tsv
Carlos Alcaraz,ESP,M,atp.tsv,2.0,,81.9,67.6,348.0,6.7,165.0,3.2,64.5,73.6,56.7,86.3,6.1,2.0,atp.tsv
Coco Gauff,USA,W,wta.tsv,2.0,,75.0,60.7,218.0,5.3,374.0,9.1,59.5,72.0,43.9,73.9,6.5,2.6,wta.tsv
Alexander Zverev,GER,M,atp.tsv,3.0,,73.8,70.1,679.0,11.7,179.0,3.1,69.1,76.7,55.4,89.1,6.0,1.8,atp.tsv
Jessica Pegula,USA,W,wta.tsv,3.0,,72.6,60.6,199.0,4.0,168.0,3.4,62.3,66.9,50.3,73.6,6.5,2.5,wta.tsv
Jasmine Paolini,ITA,W,wta.tsv,4.0,,69.5,58.3,95.0,2.4,100.0,2.5,67.0,63.1,48.7,69.2,6.6,2.7,wta.tsv
Taylor Fritz,USA,M,atp.tsv,4.0,,68.2,71.2,689.0,13.6,117.0,2.3,64.6,79.3,56.4,90.5,5.9,1.7,atp.tsv
Iga Swiatek,POL,W,wta.tsv,5.0,,76.7,61.5,163.0,4.3,143.0,3.7,64.0,68.1,49.7,76.0,6.4,2.5,wta.tsv
Jack Draper,GBR,M,atp.tsv,5.0,,75.0,68.0,540.0,11.2,181.0,3.8,61.8,77.1,53.2,85.9,6.1,1.9,atp.tsv
Mirra Andreeva,RUS,W,wta.tsv,6.0,,74.6,60.6,193.0,4.9,184.0,4.7,62.0,67.3,49.8,73.2,6.5,2.6,wta.tsv
Novak Djokovic,SRB,M,atp.tsv,6.0,,77.8,70.1,317.0,9.7,103.0,3.2,66.0,77.0,56.6,88.8,6.1,1.8,atp.tsv
Lorenzo Musetti,ITA,M,atp.tsv,7.0,,71.0,64.5,253.0,4.4,128.0,2.2,66.3,70.1,53.5,80.4,6.4,2.3,atp.tsv
Qinwen Zheng,CHN,W,wta.tsv,7.0,,73.8,61.5,408.0,9.8,212.0,5.1,54.2,73.9,46.8,76.4,6.4,2.4,wta.tsv
Casper Ruud,NOR,M,atp.tsv,8.0,,62.1,66.0,321.0,7.7,142.0,3.4,66.1,72.3,53.6,83.3,6.3,2.1,atp.tsv
Madison Keys,USA,W,wta.tsv,8.0,,72.7,60.5,205.0,6.5,130.0,4.1,68.0,66.4,47.9,74.9,6.6,2.6,wta.tsv
Alex De Minaur,AUS,M,atp.tsv,9.0,,68.8,65.0,261.0,5.7,177.0,3.9,53.9,74.6,53.9,81.5,6.1,2.1,atp.tsv
Emma Navarro,USA,W,wta.tsv,9.0,,62.1,57.9,85.0,2.0,172.0,4.1,63.6,64.0,47.3,67.9,6.5,2.7,wta.tsv
Holger Rune,DEN,M,atp.tsv,10.0,,64.5,65.8,321.0,7.1,162.0,3.6,61.1,72.9,54.8,84.0,6.2,2.1,atp.tsv
Paula Badosa,ESP,W,wta.tsv,10.0,,70.9,60.8,283.0,7.1,290.0,7.3,57.4,71.3,46.8,75.3,6.6,2.6,wta.tsv
Daniil Medvedev,RUS,M,atp.tsv,11.0,,63.8,64.7,407.0,9.3,252.0,5.8,61.1,74.2,49.8,80.7,6.3,2.2,atp.tsv
Elena Rybakina,KAZ,W,wta.tsv,11.0,,69.6,63.1,272.0,9.0,135.0,4.5,58.8,73.7,47.9,79.6,6.5,2.4,wta.tsv
Diana Shnaider,RUS,W,wta.tsv,12.0,,66.2,59.5,148.0,2.9,198.0,3.9,64.8,64.0,51.2,72.3,6.6,2.7,wta.tsv
Tommy Paul,USA,M,atp.tsv,12.0,,71.4,65.5,372.0,7.3,119.0,2.3,62.1,72.6,53.8,82.8,6.4,2.2,atp.tsv
Ben Shelton,USA,M,atp.tsv,13.0,,59.7,68.8,593.0,10.9,186.0,3.4,67.4,75.4,55.0,88.4,6.4,2.0,atp.tsv
Karolina Muchova,CZE,W,wta.tsv,13.0,,70.2,60.5,187.0,6.4,96.0,3.3,59.7,68.0,49.5,74.0,6.6,2.6,wta.tsv
Arthur Fils,FRA,M,atp.tsv,14.0,,64.7,66.1,413.0,7.8,202.0,3.8,61.7,75.2,51.4,83.7,6.3,2.1,atp.tsv
Elina Svitolina,UKR,W,wta.tsv,14.0,,71.2,60.1,179.0,5.0,160.0,4.4,60.0,68.3,47.9,75.7,6.7,2.7,wta.tsv
Andrey Rublev,RUS,M,atp.tsv,15.0,,54.8,66.3,478.0,10.2,153.0,3.3,61.3,75.9,51.0,83.2,6.2,2.1,atp.tsv
Barbora Krejcikova,CZE,W,wta.tsv,15.0,,61.5,60.1,83.0,4.3,104.0,5.4,65.5,66.8,47.2,69.8,6.6,2.6,wta.tsv
Amanda Anisimova,USA,W,wta.tsv,16.0,,65.8,57.5,97.0,3.6,180.0,6.7,62.2,62.7,48.9,68.3,6.7,2.9,wta.tsv
Frances Tiafoe,USA,M,atp.tsv,16.0,,56.9,65.7,485.0,9.6,160.0,3.2,58.0,75.3,52.5,82.6,6.4,2.2,atp.tsv
Daria Kasatkina,AUS,W,wta.tsv,17.0,,57.4,55.0,105.0,2.8,278.0,7.5,65.6,61.2,43.0,62.0,6.7,3.0,wta.tsv
Grigor Dimitrov,BUL,M,atp.tsv,17.0,,64.0,67.3,397.0,10.7,194.0,5.2,59.0,78.6,51.0,83.8,6.2,2.0,atp.tsv
Francisco Cerundolo,ARG,M,atp.tsv,18.0,,63.0,63.5,265.0,4.8,222.0,4.0,61.9,70.0,53.0,80.0,6.6,2.4,atp.tsv
Liudmila Samsonova,RUS,W,wta.tsv,18.0,,57.7,59.3,213.0,5.8,220.0,6.0,55.6,69.1,46.9,70.5,6.6,2.7,wta.tsv
Donna Vekic,CRO,W,wta.tsv,19.0,,56.3,59.5,200.0,5.7,217.0,6.2,55.3,71.0,45.2,72.4,6.6,2.7,wta.tsv
Jakub Mensik,CZE,M,atp.tsv,19.0,,59.6,65.3,707.0,14.5,228.0,4.7,60.1,77.2,47.5,83.2,6.5,2.2,atp.tsv
Ekaterina Alexandrova,RUS,W,wta.tsv,20.0,,60.0,59.5,282.0,7.6,228.0,6.1,62.0,68.3,45.0,73.0,6.6,2.7,wta.tsv
Stefanos Tsitsipas,GRE,M,atp.tsv,20.0,,60.7,67.7,372.0,8.8,166.0,3.9,61.1,75.9,54.7,86.2,6.2,2.0,atp.tsv
Jelena Ostapenko,LAT,W,wta.tsv,21.0,,50.0,54.8,175.0,6.5,239.0,8.8,56.1,65.0,41.8,62.7,7.0,3.1,wta.tsv
Ugo Humbert,FRA,M,atp.tsv,21.0,,58.2,67.0,431.0,9.8,123.0,2.8,61.3,75.1,54.0,85.1,6.2,2.0,atp.tsv
Clara Tauson,DEN,W,wta.tsv,22.0,,55.3,59.8,274.0,8.1,189.0,5.6,57.6,70.2,45.7,73.1,6.7,2.7,wta.tsv
Tomas Machac,CZE,M,atp.tsv,22.0,,57.4,63.7,303.0,7.5,166.0,4.1,61.9,71.0,51.9,79.0,6.3,2.3,atp.tsv
Beatriz Haddad Maia,BRA,W,wta.tsv,23.0,,51.8,57.7,108.0,3.3,196.0,6.0,63.3,64.3,46.2,67.5,6.6,2.8,wta.tsv
Sebastian Korda,USA,M,atp.tsv,23.0,,62.5,67.1,286.0,9.7,75.0,2.5,61.3,74.9,54.6,84.8,6.2,2.0,atp.tsv
Elise Mertens,BEL,W,wta.tsv,24.0,,59.3,59.2,237.0,6.8,248.0,7.1,55.8,70.0,45.6,70.8,6.4,2.6,wta.tsv
Karen Khachanov,RUS,M,atp.tsv,24.0,,54.7,65.9,343.0,8.3,107.0,2.6,63.8,73.7,52.2,80.9,6.1,2.1,atp.tsv
Alexei Popyrin,AUS,M,atp.tsv,25.0,,52.9,65.3,451.0,11.1,157.0,3.9,64.2,75.2,47.6,83.1,6.5,2.3,atp.tsv
Marta Kostyuk,UKR,W,wta.tsv,25.0,,59.6,57.2,159.0,4.3,324.0,8.8,59.5,66.1,44.0,67.0,6.7,2.9,wta.tsv
Flavio Cobolli,ITA,M,atp.tsv,26.0,,55.9,62.5,293.0,6.2,200.0,4.2,54.5,70.7,52.7,78.5,6.6,2.5,atp.tsv
Magdalena Frech,POL,W,wta.tsv,26.0,,49.1,56.5,140.0,3.6,107.0,2.7,61.9,62.7,46.4,64.4,6.6,2.9,wta.tsv
Felix Auger Aliassime,CAN,M,atp.tsv,27.0,,58.2,67.3,522.0,12.5,175.0,4.2,66.4,75.4,51.4,84.7,6.3,2.0,atp.tsv
Leylah Fernandez,CAN,W,wta.tsv,27.0,,54.7,57.9,139.0,3.6,229.0,5.9,62.2,64.9,46.4,68.4,6.7,2.8,wta.tsv
