Rk	Player	M	M W-L	M W%	SPW	SPW-InP	Aces	Ace%	DFs	DF%	DF/2s	1stIn	1st%	2nd%	2%-InP	Hld%	Pts/SG	PtsL/SG
1	Jannik Sinner (http://www.tennisabstract.com/cgi-bin/player.cgi?p=JannikSinner) [ITA]	56 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=JannikSinner&f=)	52-4	92.9%	71.0%	69.2%	474	10.9%	99	2.3%	5.9%	61.2%	78.9%	58.5%	62.1%	91.3%	6.0	1.8
2	Carlos Alcaraz (http://www.tennisabstract.com/cgi-bin/player.cgi?p=CarlosAlcaraz) [ESP]	72 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=CarlosAlcaraz&f=)	59-13	81.9%	67.6%	67.6%	348	6.7%	165	3.2%	9.0%	64.5%	73.6%	56.7%	62.3%	86.3%	6.1	2.0
3	Alexander Zverev (http://www.tennisabstract.com/cgi-bin/player.cgi?p=AlexanderZverev) [GER]	80 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=AlexanderZverev&f=)	59-21	73.8%	70.1%	68.6%	679	11.7%	179	3.1%	9.9%	69.1%	76.7%	55.4%	61.5%	89.1%	6.0	1.8
4	Taylor Fritz (http://www.tennisabstract.com/cgi-bin/player.cgi?p=TaylorFritz) [USA]	66 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=TaylorFritz&f=)	45-21	68.2%	71.2%	68.5%	689	13.6%	117	2.3%	6.5%	64.6%	79.3%	56.4%	60.3%	90.5%	5.9	1.7
5	Jack Draper (http://www.tennisabstract.com/cgi-bin/player.cgi?p=JackDraper) [GBR]	64 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=JackDraper&f=)	48-16	75.0%	68.0%	66.7%	540	11.2%	181	3.8%	9.8%	61.8%	77.1%	53.2%	59.0%	85.9%	6.1	1.9
6	Novak Djokovic (http://www.tennisabstract.com/cgi-bin/player.cgi?p=NovakDjokovic) [SRB]	45 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=NovakDjokovic&f=)	35-10	77.8%	70.1%	69.3%	317	9.7%	103	3.2%	9.3%	66.0%	77.0%	56.6%	62.5%	88.8%	6.1	1.8
7	Lorenzo Musetti (http://www.tennisabstract.com/cgi-bin/player.cgi?p=LorenzoMusetti) [ITA]	69 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=LorenzoMusetti&f=)	49-20	71.0%	64.5%	64.4%	253	4.4%	128	2.2%	6.7%	66.3%	70.1%	53.5%	57.3%	80.4%	6.4	2.3
8	Casper Ruud (http://www.tennisabstract.com/cgi-bin/player.cgi?p=CasperRuud) [NOR]	58 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=CasperRuud&f=)	36-22	62.1%	66.0%	65.5%	321	7.7%	142	3.4%	10.1%	66.1%	72.3%	53.6%	59.6%	83.3%	6.3	2.1
9	Alex De Minaur (http://www.tennisabstract.com/cgi-bin/player.cgi?p=AlexDeMinaur) [AUS]	64 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=AlexDeMinaur&f=)	44-20	68.8%	65.0%	65.6%	261	5.7%	177	3.9%	8.4%	53.9%	74.6%	53.9%	58.8%	81.5%	6.1	2.1
10	Holger Rune (http://www.tennisabstract.com/cgi-bin/player.cgi?p=HolgerRune) [DEN]	62 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=HolgerRune&f=)	40-22	64.5%	65.8%	65.8%	321	7.1%	162	3.6%	9.2%	61.1%	72.9%	54.8%	60.3%	84.0%	6.2	2.1
11	Daniil Medvedev (http://www.tennisabstract.com/cgi-bin/player.cgi?p=DaniilMedvedev) [RUS]	58 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=DaniilMedvedev&f=)	37-21	63.8%	64.7%	65.2%	407	9.3%	252	5.8%	14.8%	61.1%	74.2%	49.8%	58.4%	80.7%	6.3	2.2
