Rk	Player	M	M W-L	M W%	SPW	SPW-InP	Aces	Ace%	DFs	DF%	DF/2s	1stIn	1st%	2nd%	2%-InP	Hld%	Pts/SG	PtsL/SG
51	Camilo Ugo Carabelli (http://www.tennisabstract.com/cgi-bin/player.cgi?p=CamiloUgoCarabelli) [ARG]	26 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=CamiloUgoCarabelli&f=)	12-14	46.2%	58.6%	59.3%	77	3.7%	78	3.8%	10.1%	62.8%	67.9%	42.9%	47.7%	69.2%	6.6	2.7
52	Quentin Halys (http://www.tennisabstract.com/cgi-bin/player.cgi?p=QuentinHalys) [FRA]	33 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=QuentinHalys&f=)	16-17	48.5%	67.4%	65.3%	421	15.0%	131	4.7%	11.1%	58.2%	79.7%	50.3%	56.6%	85.7%	6.3	2.0
53	Tomas Martin Etcheverry (http://www.tennisabstract.com/cgi-bin/player.cgi?p=TomasMartinEtcheverry) [ARG]	55 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=TomasMartinEtcheverry&f=)	25-30	45.5%	64.4%	62.5%	376	8.4%	94	2.1%	5.7%	63.3%	72.8%	49.8%	52.8%	81.7%	6.5	2.3
54	Gabriel Diallo (http://www.tennisabstract.com/cgi-bin/player.cgi?p=GabrielDiallo) [CAN]	32 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=GabrielDiallo&f=)	16-16	50.0%	64.0%	62.5%	240	9.1%	82	3.1%	9.4%	67.0%	71.1%	49.6%	54.7%	81.0%	6.5	2.3
55	Jacob Fearnley (http://www.tennisabstract.com/cgi-bin/player.cgi?p=JacobFearnley) [GBR]	22 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=JacobFearnley&f=)	11-11	50.0%	63.0%	63.8%	116	7.5%	85	5.5%	13.7%	60.2%	71.2%	50.6%	58.6%	78.5%	6.4	2.4
56	Fabian Marozsan (http://www.tennisabstract.com/cgi-bin/player.cgi?p=FabianMarozsan) [HUN]	50 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=FabianMarozsan&f=)	23-27	46.0%	63.4%	62.8%	272	6.7%	121	3.0%	8.1%	63.2%	70.8%	50.7%	55.2%	79.0%	6.5	2.4
57	Jaume Munar (http://www.tennisabstract.com/cgi-bin/player.cgi?p=JaumeMunar) [ESP]	36 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=JaumeMunar&f=)	15-21	41.7%	62.8%	63.5%	150	5.1%	119	4.0%	11.1%	63.8%	70.4%	49.4%	55.6%	78.0%	6.3	2.3
58	Kei Nishikori (http://www.tennisabstract.com/cgi-bin/player.cgi?p=KeiNishikori) [JPN]	33 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=KeiNishikori&f=)	17-16	51.5%	62.7%	62.7%	85	3.7%	51	2.2%	6.7%	66.8%	68.2%	51.8%	55.6%	77.4%	6.2	2.3
59	Laslo Djere (http://www.tennisabstract.com/cgi-bin/player.cgi?p=LasloDjere) [SRB]	31 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=LasloDjere&f=)	19-12	61.3%	64.3%	63.5%	194	8.4%	83	3.6%	9.3%	61.4%	72.0%	52.0%	57.3%	81.6%	6.4	2.3
60	Benjamin Bonzi (http://www.tennisabstract.com/cgi-bin/player.cgi?p=BenjaminBonzi) [FRA]	19 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=BenjaminBonzi&f=)	11-8	57.9%	66.1%	64.8%	104	7.0%	26	1.7%	4.9%	64.7%	71.2%	56.7%	59.7%	82.8%	6.4	2.2
61	Alejandro Tabilo (http://www.tennisabstract.com/cgi-bin/player.cgi?p=AlejandroTabilo) [CHI]	43 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=AlejandroTabilo&f=)	17-26	39.5%	63.7%	62.6%	324	8.7%	125	3.3%	8.9%	62.5%	72.7%	48.8%	53.6%	82.0%	6.7	2.4
62	Alexander Bublik (http://www.tennisabstract.com/cgi-bin/player.cgi?p=AlexanderBublik) [KAZ]	39 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=AlexanderBublik&f=)	13-26	33.3%	64.6%	63.5%	472	15.8%	221	7.4%	18.8%	60.7%	77.3%	44.9%	55.3%	80.7%	6.4	2.3
63	Roberto Carballes Baena (http://www.tennisabstract.com/cgi-bin/player.cgi?p=RobertoCarballesBaena) [ESP]	43 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=RobertoCarballesBaena&f=)	19-24	44.2%	61.3%	61.3%	172	5.1%	108	3.2%	8.6%	62.9%	68.3%	49.4%	54.1%	74.6%	6.5	2.5
64	Francisco Comesana (http://www.tennisabstract.com/cgi-bin/player.cgi?p=FranciscoComesana) [ARG]	27 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=FranciscoComesana&f=)	13-14	48.1%	64.2%	63.0%	226	8.7%	84	3.2%	8.5%	62.1%	72.4%	50.8%	55.5%	80.4%	6.5	2.3
65	Joao Fonseca (http://www.tennisabstract.com/cgi-bin/player.cgi?p=JoaoFonseca) [BRA]	26 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=JoaoFonseca&f=)	17-9	65.4%	66.3%	64.9%	157	8.0%	42	2.1%	6.4%	66.2%	73.1%	53.0%	56.6%	84.3%	6.4	2.2
66	Daniel Altmaier (http://www.tennisabstract.com/cgi-bin/player.cgi?p=DanielAltmaier) [GER]	34 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=DanielAltmaier&f=)	13-21	38.2%	62.1%	59.9%	260	9.2%	72	2.6%	6.4%	60.1%	73.2%	45.4%	48.5%	75.4%	6.5	2.5
