Rk	Player	M	M W-L	M W%	SPW	SPW-InP	Aces	Ace%	DFs	DF%	DF/2s	1stIn	1st%	2nd%	2%-InP	Hld%	Pts/SG	PtsL/SG
1	Aryna Sabalenka (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ArynaSabalenka) [BLR]	73 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=ArynaSabalenka&f=)	61-12	83.6%	62.0%	62.0%	268	5.6%	164	3.4%	9.2%	62.8%	68.6%	50.9%	56.1%	78.0%	6.5	2.5
2	Coco Gauff (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=CocoGauff) [USA]	64 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=CocoGauff&f=)	48-16	75.0%	60.7%	64.7%	218	5.3%	374	9.1%	22.4%	59.5%	72.0%	43.9%	56.6%	73.9%	6.5	2.6
3	Jessica Pegula (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=JessicaPegula) [USA]	73 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=JessicaPegula&f=)	53-20	72.6%	60.6%	61.1%	199	4.0%	168	3.4%	8.9%	62.3%	66.9%	50.3%	55.2%	73.6%	6.5	2.5
4	Jasmine Paolini (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=JasminePaolini) [ITA]	59 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=JasminePaolini&f=)	41-18	69.5%	58.3%	58.8%	95	2.4%	100	2.5%	7.6%	67.0%	63.1%	48.7%	52.8%	69.2%	6.6	2.7
5	Iga Swiatek (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=IgaSwiatek) [POL]	60 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=IgaSwiatek&f=)	46-14	76.7%	61.5%	62.2%	163	4.3%	143	3.7%	10.4%	64.0%	68.1%	49.7%	55.5%	76.0%	6.4	2.5
6	Mirra Andreeva (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MirraAndreeva) [RUS]	59 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=MirraAndreeva&f=)	44-15	74.6%	60.6%	61.6%	193	4.9%	184	4.7%	12.3%	62.0%	67.3%	49.8%	56.8%	73.2%	6.5	2.6
7	Qinwen Zheng (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=QinwenZheng) [CHN]	61 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=QinwenZheng&f=)	45-16	73.8%	61.5%	60.7%	408	9.8%	212	5.1%	11.1%	54.2%	73.9%	46.8%	52.7%	76.4%	6.4	2.4
8	Madison Keys (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MadisonKeys) [USA]	44 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=MadisonKeys&f=)	32-12	72.7%	60.5%	60.4%	205	6.5%	130	4.1%	12.8%	68.0%	66.4%	47.9%	55.0%	74.9%	6.6	2.6
9	Emma Navarro (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=EmmaNavarro) [USA]	58 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=EmmaNavarro&f=)	36-22	62.1%	57.9%	59.6%	85	2.0%	172	4.1%	11.3%	63.6%	64.0%	47.3%	53.3%	67.9%	6.5	2.7
10	Paula Badosa (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=PaulaBadosa) [ESP]	55 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=PaulaBadosa&f=)	39-16	70.9%	60.8%	62.8%	283	7.1%	290	7.3%	17.1%	57.4%	71.3%	46.8%	56.5%	75.3%	6.6	2.6
11	Elena Rybakina (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ElenaRybakina) [KAZ]	46 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=ElenaRybakina&f=)	32-14	69.6%	63.1%	62.5%	272	9.0%	135	4.5%	10.8%	58.8%	73.7%	47.9%	53.7%	79.6%	6.5	2.4
12	Diana Shnaider (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=DianaShnaider) [RUS]	71 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=DianaShnaider&f=)	47-24	66.2%	59.5%	60.7%	148	2.9%	198	3.9%	11.1%	64.8%	64.0%	51.2%	57.6%	72.3%	6.6	2.7
13	Karolina Muchova (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=KarolinaMuchova) [CZE]	47 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=KarolinaMuchova&f=)	33-14	70.2%	60.5%	59.9%	187	6.4%	96	3.3%	8.1%	59.7%	68.0%	49.5%	53.9%	74.0%	6.6	2.6
14	Elina Svitolina (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ElinaSvitolina) [UKR]	52 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=ElinaSvitolina&f=)	37-15	71.2%	60.1%	60.9%	179	5.0%	160	4.4%	11.1%	60.0%	68.3%	47.9%	53.8%	75.7%	6.7	2.7
15	Barbora Krejcikova (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=BarboraKrejcikova) [CZE]	26 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=BarboraKrejcikova&f=)	16-10	61.5%	60.1%	61.8%	83	4.3%	104	5.4%	15.8%	65.5%	66.8%	47.2%	56.0%	69.8%	6.6	2.6
16	Amanda Anisimova (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AmandaAnisimova) [USA]	38 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=AmandaAnisimova&f=)	25-13	65.8%	57.5%	60.1%	97	3.6%	180	6.7%	17.8%	62.2%	62.7%	48.9%	59.5%	68.3%	6.7	2.9
17	Daria Kasatkina (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=DariaKasatkina) [AUS]	54 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=DariaKasatkina&f=)	31-23	57.4%	55.0%	58.2%	105	2.8%	278	7.5%	21.8%	65.6%	61.2%	43.0%	55.1%	62.0%	6.7	3.0
18	Liudmila Samsonova (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LiudmilaSamsonova) [RUS]	52 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=LiudmilaSamsonova&f=)	30-22	57.7%	59.3%	60.6%	213	5.8%	220	6.0%	13.4%	55.6%	69.1%	46.9%	54.2%	70.5%	6.6	2.7
19	Donna Vekic (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=DonnaVekic) [CRO]	48 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=DonnaVekic&f=)	27-21	56.3%	59.5%	61.0%	200	5.7%	217	6.2%	13.8%	55.3%	71.0%	45.2%	52.5%	72.4%	6.6	2.7
20	Ekaterina Alexandrova (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=EkaterinaAlexandrova) [RUS]	50 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=EkaterinaAlexandrova&f=)	30-20	60.0%	59.5%	60.1%	282	7.6%	228	6.1%	16.2%	62.0%	68.3%	45.0%	53.6%	73.0%	6.6	2.7
21	Jelena Ostapenko (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=JelenaOstapenko) [LAT]	38 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=JelenaOstapenko&f=)	19-19	50.0%	54.8%	57.1%	175	6.5%	239	8.8%	20.1%	56.1%	65.0%	41.8%	52.4%	62.7%	7.0	3.1
22	Clara Tauson (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ClaraTauson) [DEN]	47 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=ClaraTauson&f=)	26-21	55.3%	59.8%	59.9%	274	8.1%	189	5.6%	13.2%	57.6%	70.2%	45.7%	52.6%	73.1%	6.7	2.7
23	Beatriz Haddad Maia (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=BeatrizHaddadMaia) [BRA]	56 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=BeatrizHaddadMaia&f=)	29-27	51.8%	57.7%	60.0%	108	3.3%	196	6.0%	16.5%	63.3%	64.3%	46.2%	55.3%	67.5%	6.6	2.8
24	Elise Mertens (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=EliseMertens) [BEL]	54 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=EliseMertens&f=)	32-22	59.3%	59.2%	60.9%	237	6.8%	248	7.1%	16.1%	55.8%	70.0%	45.6%	54.4%	70.8%	6.4	2.6
25	Marta Kostyuk (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MartaKostyuk) [UKR]	52 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=MartaKostyuk&f=)	31-21	59.6%	57.2%	60.8%	159	4.3%	324	8.8%	21.8%	59.5%	66.1%	44.0%	56.3%	67.0%	6.7	2.9
26	Magdalena Frech (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MagdalenaFrech) [POL]	53 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=MagdalenaFrech&f=)	26-27	49.1%	56.5%	56.5%	140	3.6%	107	2.7%	7.1%	61.9%	62.7%	46.4%	49.9%	64.4%	6.6	2.9
27	Leylah Fernandez (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LeylahFernandez) [CAN]	53 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=LeylahFernandez&f=)	29-24	54.7%	57.9%	59.9%	139	3.6%	229	5.9%	15.5%	62.2%	64.9%	46.4%	54.8%	68.4%	6.7	2.8
28	Anna Kalinskaya (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnnaKalinskaya) [RUS]	44 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=AnnaKalinskaya&f=)	26-18	59.1%	59.0%	61.1%	65	2.2%	141	4.9%	14.2%	65.9%	64.0%	49.3%	57.5%	70.3%	6.5	2.7
29	Linda Noskova (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LindaNoskova) [CZE]	45 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=LindaNoskova&f=)	24-21	53.3%	61.9%	63.0%	232	7.8%	188	6.3%	15.5%	59.3%	71.1%	48.5%	57.4%	76.0%	6.5	2.5
30	Sofia Kenin (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=SofiaKenin) [USA]	49 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=SofiaKenin&f=)	26-23	53.1%	59.3%	61.2%	102	3.0%	169	4.9%	15.5%	68.4%	64.9%	47.3%	56.0%	71.5%	6.5	2.7
31	Yulia Putintseva (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=YuliaPutintseva) [KAZ]	46 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=YuliaPutintseva&f=)	27-19	58.7%	58.8%	59.3%	77	2.6%	80	2.7%	8.7%	69.2%	63.4%	48.3%	52.9%	69.3%	6.6	2.7
32	Magda Linette (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MagdaLinette) [POL]	55 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=MagdaLinette&f=)	31-24	56.4%	57.8%	57.2%	167	4.5%	88	2.3%	6.2%	62.4%	64.1%	47.2%	50.3%	68.7%	6.9	2.9
