Rk	Player	M	M W-L	M W%	SPW	SPW-InP	Aces	Ace%	DFs	DF%	DF/2s	1stIn	1st%	2nd%	2%-InP	Hld%	Pts/SG	PtsL/SG
51	Camila Osorio (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=CamilaOsorio) [COL]	42 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=CamilaOsorio&f=)	24-18	57.1%	54.6%	57.4%	72	2.5%	193	6.7%	19.1%	64.8%	60.5%	43.6%	53.9%	60.7%	6.5	2.9
52	Alycia Parks (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AlyciaParks) [USA]	28 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=AlyciaParks&f=)	10-18	35.7%	54.2%	57.5%	154	7.9%	227	11.7%	26.5%	55.9%	66.7%	38.3%	52.1%	61.1%	6.6	3.0
53	Maya Joint (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MayaJoint) [AUS]	26 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=MayaJoint&f=)	15-11	57.7%	57.2%	59.2%	27	1.7%	71	4.5%	12.5%	64.0%	60.2%	51.9%	59.3%	67.2%	6.6	2.8
54	Danielle Collins (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=DanielleCollins) [USA]	30 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=DanielleCollins&f=)	17-13	56.7%	59.2%	61.2%	127	6.2%	148	7.2%	17.1%	57.8%	67.5%	47.9%	57.8%	70.3%	6.7	2.7
55	Ann Li (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnnLi) [USA]	32 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=AnnLi&f=)	18-14	56.3%	57.4%	57.0%	109	4.9%	68	3.1%	7.9%	61.4%	65.5%	44.5%	48.4%	65.5%	6.4	2.7
56	Sonay Kartal (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=SonayKartal) [GBR]	21 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=SonayKartal&f=)	14-7	66.7%	58.2%	58.8%	23	1.9%	28	2.3%	7.3%	69.2%	61.9%	50.0%	54.0%	67.4%	6.4	2.7
57	Lucia Bronzetti (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LuciaBronzetti) [ITA]	49 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=LuciaBronzetti&f=)	23-26	46.9%	55.1%	55.8%	78	2.3%	106	3.2%	8.6%	63.3%	60.3%	46.2%	50.6%	64.0%	6.9	3.1
58	Polina Kudermetova (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=PolinaKudermetova) [RUS]	24 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=PolinaKudermetova&f=)	13-11	54.2%	54.1%	56.2%	59	3.4%	111	6.5%	14.9%	56.7%	62.7%	42.9%	50.5%	61.1%	6.8	3.1
59	Eva Lys (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=EvaLys) [GER]	29 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=EvaLys&f=)	15-14	51.7%	54.8%	57.1%	26	1.3%	99	5.0%	14.6%	66.0%	58.2%	48.2%	56.5%	62.2%	6.6	3.0
60	Jaqueline Cristian (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=JaquelineCristian) [ROU]	44 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=JaquelineCristian&f=)	22-22	50.0%	55.6%	56.7%	121	4.0%	150	4.9%	11.8%	58.3%	63.1%	45.2%	51.2%	63.2%	6.7	3.0
61	Moyuka Uchijima (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MoyukaUchijima) [JPN]	42 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=MoyukaUchijima&f=)	16-26	38.1%	54.3%	57.5%	77	2.6%	222	7.6%	17.7%	56.9%	61.9%	44.3%	53.8%	59.5%	6.8	3.1
62	Anna Blinkova (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnnaBlinkova) [RUS]	40 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=AnnaBlinkova&f=)	15-25	37.5%	51.6%	53.6%	56	2.1%	146	5.4%	14.2%	61.9%	56.4%	43.9%	51.1%	54.6%	6.8	3.3
63	Katerina Siniakova (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=KaterinaSiniakova) [CZE]	43 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=KaterinaSiniakova&f=)	21-22	48.8%	55.7%	59.0%	80	2.6%	226	7.3%	18.9%	61.1%	63.3%	43.9%	54.1%	62.6%	6.6	2.9
64	Viktoriya Tomova (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ViktoriyaTomova) [BUL]	42 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=ViktoriyaTomova&f=)	17-25	40.5%	52.6%	54.5%	55	1.8%	147	4.9%	13.1%	62.7%	59.3%	41.5%	47.8%	55.2%	7.0	3.3
